emp_no,first_name,last_name,birth_date,from_date,to_date,title
10886,Sushant,Begiun,1964-09-30,1995-03-26,9999-01-01,Engineer
10896,Adil,Taubenfeld,1964-04-12,1997-11-27,9999-01-01,Engineer
10902,Inderjeet,Perly,1964-05-09,1990-06-11,1990-09-25,Assistant Engineer
10937,Anyuan,Nanard,1964-09-11,1988-06-16,1991-05-03,Engineer
10939,Matk,Akazan,1964-07-13,1997-12-11,9999-01-01,Assistant Engineer
10954,Ranga,Burnard,1964-11-16,1995-12-14,9999-01-01,Staff
10982,Yishay,Decleir,1964-02-27,1989-11-11,9999-01-01,Senior Staff
11022,Apostol,Pintelas,1964-02-02,1993-10-18,9999-01-01,Senior Staff
11023,Yifei,Driscoll,1964-01-08,1990-06-12,9999-01-01,Senior Staff
11041,Stamatina,Matheson,1964-01-12,1998-01-29,9999-01-01,Senior Engineer
11109,Chinho,Stamatiou,1964-11-05,1985-03-29,9999-01-01,Senior Staff
11122,Aleksandar,Randi,1964-08-12,1995-10-15,9999-01-01,Senior Staff
11129,Goncalo,Pulkowski,1964-08-17,1995-08-16,1995-12-02,Senior Engineer
11131,Weiye,Zambonelli,1964-02-18,1999-07-14,1999-08-01,Technique Leader
11136,Gladys,Luiz,1964-06-01,1990-12-06,9999-01-01,Engineer
11142,Moheb,Raney,1964-11-19,1993-11-04,9999-01-01,Engineer
11149,Domenico,Imataki,1964-06-28,1987-08-26,9999-01-01,Senior Staff
11176,Mingzeng,Heinisuo,1964-12-06,1985-06-15,2002-04-04,Senior Engineer
11193,Val,Kumaresan,1964-08-13,1998-01-28,9999-01-01,Senior Staff
11200,Renny,Junet,1964-06-05,1995-04-08,9999-01-01,Technique Leader
11202,Marek,Ranon,1964-11-01,1996-02-26,9999-01-01,Senior Staff
11209,Xuejun,Penn,1964-06-25,2000-02-08,9999-01-01,Engineer
11235,Larisa,Schueller,1964-11-13,1998-11-09,9999-01-01,Senior Engineer
11237,Brendon,Salinas,1964-03-21,1986-03-30,1989-04-07,Staff
11246,Maik,Reinhart,1964-11-16,1996-05-25,1998-06-03,Engineer
11264,Uma,Oehlmann,1964-03-15,1986-10-09,9999-01-01,Engineer
11280,Lillian,Restivo,1964-01-04,1989-08-07,1998-04-14,Senior Staff
11282,Josyula,Schaad,1964-01-31,1997-06-09,9999-01-01,Staff
11283,Shmuel,Codenie,1964-02-25,1987-06-30,9999-01-01,Senior Staff
11286,Joydip,Gini,1964-12-04,1988-02-16,9999-01-01,Senior Staff
11318,Gopalakrishnan,Unno,1964-09-09,1986-01-25,9999-01-01,Senior Staff
11323,Hyuckchul,Pfau,1964-05-24,1995-02-13,1997-05-20,Engineer
11337,Hercules,Brendel,1964-07-31,1998-02-21,2002-05-11,Staff
11345,Youngkon,Maierhofer,1964-08-11,1998-11-25,9999-01-01,Engineer
11383,Billur,Herbst,1964-02-22,1999-11-26,9999-01-01,Staff
11394,Masadi,Uhrik,1964-01-02,1988-12-20,9999-01-01,Senior Staff
11440,Lubomir,Jahnichen,1964-12-07,1994-03-03,9999-01-01,Engineer
11450,Wanqing,Glinert,1964-04-12,1988-10-06,2000-07-13,Engineer
11466,Naftali,Koshino,1964-01-04,1989-07-02,9999-01-01,Engineer
11482,Uri,Deverell,1964-10-16,1991-04-03,9999-01-01,Senior Staff
11495,Shin,Barriga,1964-01-02,1989-09-13,9999-01-01,Senior Staff
11511,Arlette,Mikschl,1964-06-02,1997-05-28,9999-01-01,Assistant Engineer
11544,Elzbieta,Thimonier,1964-09-05,1993-12-20,1996-10-22,Senior Staff
11546,Duro,Vuskovic,1964-12-22,1987-06-30,9999-01-01,Senior Staff
11566,Martina,Quittner,1964-10-07,1995-01-09,9999-01-01,Engineer
11583,Margo,Domenig,1964-06-06,1994-07-08,1994-08-30,Engineer
11598,Sariel,Ertl,1964-06-07,1994-04-02,9999-01-01,Engineer
11609,Sigeru,Marrakchi,1964-08-27,2000-01-12,2000-02-14,Senior Staff
11614,Moni,Peha,1964-12-06,1986-03-08,1997-05-03,Senior Engineer
11618,Gian,Juneja,1964-02-08,1999-04-06,2001-08-13,Staff
11623,Becky,Jullig,1964-03-18,1990-03-05,9999-01-01,Engineer
11627,Zeljko,Schreiter,1964-09-24,1998-10-31,9999-01-01,Engineer
11635,Nalini,Mahnke,1964-07-13,1989-10-13,9999-01-01,Engineer
11638,JoAnne,Falco,1964-04-28,1996-01-17,9999-01-01,Engineer
11639,Khatoun,Herath,1964-05-02,1987-02-18,9999-01-01,Engineer
11652,Jeanne,Beutelspacher,1964-10-20,1999-07-06,2000-07-07,Technique Leader
11670,Evgueni,Kroon,1964-09-25,1985-05-17,9999-01-01,Senior Staff
11675,Slavian,Pettit,1964-06-10,1988-04-02,1994-02-10,Engineer
11704,Naftali,Baalen,1964-11-09,1999-04-04,9999-01-01,Engineer
11707,Tooru,Hettesheimer,1964-07-18,1994-04-07,9999-01-01,Engineer
11744,Felicidad,Auria,1964-10-07,1989-08-23,2000-01-18,Senior Staff
11745,Janche,Bahi,1964-07-03,1999-12-12,9999-01-01,Staff
11752,Bingning,Etalle,1964-11-11,1992-11-10,9999-01-01,Senior Staff
11757,Jackson,Meriste,1964-05-22,1987-04-07,9999-01-01,Senior Engineer
11761,Bartek,Aamodt,1964-07-17,1991-06-12,9999-01-01,Senior Staff
11766,Nimmagadda,Berztiss,1964-10-10,1987-10-27,9999-01-01,Engineer
11768,Krassimir,Erol,1964-06-09,1991-04-25,9999-01-01,Assistant Engineer
11781,Tua,Pluym,1964-11-29,1997-12-04,9999-01-01,Staff
11794,Atreye,Ghandeharizadeh,1964-10-25,1992-09-04,9999-01-01,Engineer
11798,Kwan,Quaggetto,1964-08-14,1987-12-10,9999-01-01,Senior Staff
11799,Duro,Silva,1964-03-25,1996-03-06,9999-01-01,Assistant Engineer
11816,Masako,Besselaar,1964-04-26,1991-08-05,9999-01-01,Senior Staff
11826,Carrsten,Rotem,1964-02-20,1988-07-06,9999-01-01,Engineer
11850,Bikash,Maginnis,1964-10-23,1991-02-10,9999-01-01,Senior Staff
11860,Chriss,DeMori,1964-07-29,1992-12-04,2002-01-03,Assistant Engineer
11895,Flemming,Schreiter,1964-05-09,1990-01-29,1998-02-10,Engineer
11898,Jinya,Piveteau,1964-10-29,1996-12-01,9999-01-01,Engineer
11902,Subhash,Garnham,1964-04-19,1996-09-22,1999-09-06,Engineer
11912,Kristian,Giaccio,1964-08-15,1985-11-13,1994-10-06,Senior Engineer
11955,Domenico,Eastman,1964-10-17,1995-04-25,9999-01-01,Senior Engineer
11968,Mitchel,Dayang,1964-08-13,1995-08-08,9999-01-01,Engineer
11978,Aran,Khalid,1964-08-24,1991-06-25,1994-04-25,Engineer
11981,LiMin,Horswill,1964-04-11,1990-09-14,9999-01-01,Engineer
11990,Chanjung,Matheson,1964-11-24,1988-09-05,9999-01-01,Engineer
12039,Kazuhide,Junet,1964-12-03,1988-04-04,9999-01-01,Senior Staff
12058,Qunsheng,Khamsi,1964-02-18,1991-08-06,9999-01-01,Engineer
12065,Moto,Roohalamini,1964-04-10,1987-06-18,9999-01-01,Engineer
12085,Hugh,Rouquie,1964-04-01,1986-07-03,9999-01-01,Senior Staff
12096,Weiwu,Schlenzig,1964-04-12,1994-08-17,9999-01-01,Senior Staff
12107,Manibrata,Antonisse,1964-10-15,1997-01-27,9999-01-01,Engineer
12124,Jingling,Schaaf,1964-08-01,1989-07-14,9999-01-01,Senior Staff
12139,Guangming,Senzako,1964-10-31,1994-03-07,9999-01-01,Engineer
12152,Amalendu,Nyrup,1964-01-18,2000-08-16,9999-01-01,Senior Staff
12169,Arnd,Broomell,1964-11-30,1994-11-29,9999-01-01,Staff
12176,Christoper,Holburn,1964-12-18,1994-07-05,9999-01-01,Engineer
12203,Parto,Heinisuo,1964-11-19,1987-07-21,1990-07-31,Engineer
12225,Yongqiao,Narahara,1964-07-10,1999-01-27,9999-01-01,Staff
12240,Somnath,Gils,1964-09-20,1989-08-03,1993-03-29,Engineer
12245,Christ,Baba,1964-10-31,1998-11-27,9999-01-01,Engineer
12246,Gill,Rehfuss,1964-01-17,1990-01-26,9999-01-01,Senior Staff
12285,Stepehn,Erman,1964-12-30,1991-02-21,9999-01-01,Engineer
12294,Arch,Heydon,1964-09-30,1991-12-14,2000-05-07,Senior Staff
12307,Sarita,Schlumberger,1964-09-15,1985-02-23,9999-01-01,Engineer
12310,Chandrasekaran,Pettit,1964-08-04,1990-12-21,9999-01-01,Engineer
12333,Gino,Peck,1964-05-01,1997-04-12,9999-01-01,Engineer
12336,Menkae,Hedayat,1964-04-22,1993-05-06,1995-07-23,Staff
12350,Somnath,Swan,1964-03-12,1996-08-25,9999-01-01,Senior Engineer
12352,Mizuhito,Stavenow,1964-03-31,1989-09-09,2002-06-28,Technique Leader
12358,Achilleas,Syrotiuk,1964-06-29,1996-04-29,2000-09-18,Staff
12371,Paraskevi,Choobineh,1964-10-03,1999-07-17,2000-05-29,Engineer
12384,Alagu,Oppitz,1964-09-11,1990-06-28,1996-06-10,Assistant Engineer
12386,Godehard,Litecky,1964-01-31,1993-10-19,9999-01-01,Engineer
12390,Kwangsub,Kilgour,1964-04-22,1997-07-09,9999-01-01,Staff
12404,Manu,Kulisch,1964-11-16,1985-12-14,9999-01-01,Engineer
12405,Zhanqiu,Kambil,1964-04-06,1989-07-16,9999-01-01,Assistant Engineer
12412,Chaitali,Peres,1964-06-05,1998-12-20,2000-11-19,Staff
12431,Mana,Jiang,1964-04-23,1987-10-09,1992-03-01,Engineer
12432,Fumino,Delgrange,1964-08-28,1991-07-03,9999-01-01,Technique Leader
12446,Xiaoqiang,Keustermans,1964-01-05,1987-11-06,9999-01-01,Senior Staff
12448,Honglan,Salverda,1964-07-12,1990-01-10,1996-07-12,Senior Staff
12449,Honesty,Iisaku,1964-04-20,1995-06-18,9999-01-01,Senior Staff
12461,Tesuro,Silva,1964-06-01,1998-08-15,9999-01-01,Senior Engineer
12467,Zhiwei,Bennis,1964-06-18,1994-10-06,1999-01-07,Technique Leader
12486,Joydip,Morrin,1964-09-08,1996-10-16,9999-01-01,Senior Engineer
12511,Frederique,Lueh,1964-11-01,1993-02-01,9999-01-01,Assistant Engineer
12535,Kazuhiko,Bergere,1964-11-04,1991-02-22,9999-01-01,Technique Leader
12544,Kankanahalli,Hartvigsen,1964-10-13,1995-04-09,9999-01-01,Engineer
12546,Luisa,Shobatake,1964-03-10,1988-06-05,9999-01-01,Senior Staff
12548,Chenxi,Baak,1964-06-25,1990-06-28,9999-01-01,Engineer
12549,Krister,Onuegbe,1964-12-19,1998-09-15,9999-01-01,Staff
12565,Theron,Mullainathan,1964-05-19,1989-06-16,9999-01-01,Senior Staff
12572,Sungwon,McConalogue,1964-05-03,1995-11-23,9999-01-01,Engineer
12577,Takushi,Schrift,1964-05-09,2000-10-13,9999-01-01,Engineer
12578,Tamiya,Perin,1964-01-22,1986-07-28,9999-01-01,Senior Staff
12581,Jaihie,Kilgour,1964-03-08,1993-03-23,2002-01-05,Senior Engineer
12605,Petter,Feldmann,1964-10-26,1990-02-19,9999-01-01,Senior Staff
12606,Richara,Kinley,1964-12-21,1997-09-17,1999-03-13,Staff
12614,Sastry,Senzako,1964-05-30,1997-06-05,1998-03-10,Staff
12647,Niclas,Sankaranarayanan,1964-04-07,1999-08-10,9999-01-01,Staff
12711,Yechiam,Jiafu,1964-08-12,1986-11-21,9999-01-01,Senior Staff
12724,Parke,Lammel,1964-07-05,1999-02-17,9999-01-01,Staff
12736,Prasadram,Tempesti,1964-04-16,1997-02-27,2001-01-16,Technique Leader
12741,Goh,Capobianchi,1964-10-13,1994-12-19,1998-08-19,Staff
12751,Nahum,Facello,1964-07-06,1995-01-09,1998-09-17,Engineer
12757,Karlis,Cooke,1964-10-31,1995-06-24,9999-01-01,Engineer
12762,Jaroslava,Koblitz,1964-04-27,1992-09-25,9999-01-01,Technique Leader
12771,Erez,Luks,1964-02-06,1988-06-02,9999-01-01,Senior Staff
12797,Takushi,Turnbull,1964-04-27,1991-11-05,9999-01-01,Senior Engineer
12874,Patricio,Ramamoorthy,1964-03-05,1995-02-12,9999-01-01,Senior Staff
12884,Paddy,Zyda,1964-09-28,1988-11-09,9999-01-01,Assistant Engineer
12892,Leah,Preusig,1964-12-17,1987-04-21,1995-11-02,Senior Engineer
12920,Tetsushi,Legleitner,1964-05-06,1998-11-23,9999-01-01,Senior Engineer
12942,Maia,Dalphin,1964-11-09,1995-08-17,9999-01-01,Engineer
12954,Dinkar,Walston,1964-11-10,1986-05-08,9999-01-01,Senior Staff
12990,Kristina,Benaini,1964-06-08,1985-07-12,9999-01-01,Engineer
12996,Khalil,Madeira,1964-12-07,1992-08-26,9999-01-01,Senior Staff
13006,Jolita,Spelt,1964-09-01,1986-11-07,2001-03-30,Engineer
13018,Toshimi,Moehrke,1964-03-14,1987-05-10,9999-01-01,Senior Staff
13036,Idoia,Heystek,1964-07-14,1998-04-23,9999-01-01,Staff
13063,Troy,Shokrollahi,1964-11-17,1994-01-02,9999-01-01,Staff
13079,Yaghout,Rousseau,1964-11-13,1993-12-23,1995-02-24,Engineer
13089,Fumiko,Viele,1964-02-20,1995-12-29,9999-01-01,Engineer
13094,Sanjay,Servieres,1964-12-19,1998-11-19,9999-01-01,Engineer
13099,Luigi,Bardell,1964-01-09,1992-06-19,2000-01-26,Senior Staff
13100,Guenter,Roison,1964-04-19,1991-01-22,9999-01-01,Assistant Engineer
13114,Nikolaus,Bressoud,1964-06-28,1994-10-13,9999-01-01,Staff
13115,Jianhua,Comellas,1964-05-06,1995-08-21,9999-01-01,Senior Staff
13123,Hatem,Miake,1964-07-26,1997-12-19,9999-01-01,Engineer
13129,Martijn,Sigstam,1964-04-15,1997-11-17,9999-01-01,Senior Staff
13162,Shaw,Goodrum,1964-12-26,1989-05-19,9999-01-01,Senior Staff
13167,Masaki,Harnett,1964-11-17,1991-02-10,1991-07-18,Assistant Engineer
13176,Pranas,Thiria,1964-11-28,1990-09-07,9999-01-01,Senior Staff
13195,Toshiki,Baak,1964-06-29,1986-03-02,9999-01-01,Engineer
13219,Wojceich,Constantine,1964-11-10,1988-06-22,9999-01-01,Technique Leader
13229,Leszek,Kawashima,1964-08-25,1999-07-17,1999-11-18,Engineer
13231,Pohua,Sessa,1964-05-05,1993-10-23,9999-01-01,Engineer
13242,Kazuhiko,Ecklund,1964-10-17,1994-12-06,9999-01-01,Engineer
13244,Khosrow,Yoshizawa,1964-10-27,1988-08-17,1996-09-02,Senior Staff
13251,Otilia,Lakshmanan,1964-06-28,1992-05-24,9999-01-01,Assistant Engineer
13254,Chuanti,Thibadeau,1964-11-08,1994-06-22,1998-01-20,Engineer
13268,Munehiro,Yurov,1964-04-29,1992-11-04,9999-01-01,Senior Staff
13271,Sachar,Schoegge,1964-11-25,1993-05-08,1995-03-15,Staff
13274,Valery,Anguita,1964-06-11,1998-04-24,9999-01-01,Assistant Engineer
13314,Vasilis,Schlegelmilch,1964-01-23,1993-04-14,9999-01-01,Senior Staff
13317,Iara,Magliocco,1964-04-29,1999-10-02,9999-01-01,Engineer
13319,Manton,Schwaller,1964-02-15,1998-01-13,9999-01-01,Engineer
13326,Mario,Comte,1964-02-14,1996-06-22,9999-01-01,Senior Staff
13328,Khedija,Vilarrasa,1964-10-25,1997-10-27,9999-01-01,Staff
13330,Sarita,Litvinov,1964-08-31,1993-08-19,9999-01-01,Engineer
13335,Val,Akaboshi,1964-05-05,1997-06-10,9999-01-01,Staff
13348,Leaf,Wiegley,1964-04-25,1989-08-06,9999-01-01,Senior Staff
13360,Krassimir,Michaels,1964-09-30,1999-02-23,9999-01-01,Assistant Engineer
13370,Nidapan,Macedo,1964-08-22,1990-06-23,9999-01-01,Senior Staff
13382,Makato,Domenig,1964-10-31,1994-12-25,9999-01-01,Engineer
13387,Froduald,Tzvieli,1964-10-16,1987-12-05,2000-09-18,Senior Staff
13397,Nimmagadda,Wilfing,1964-05-13,1987-06-25,9999-01-01,Senior Staff
13419,Bouchung,Leivant,1964-11-06,1996-05-25,9999-01-01,Senior Staff
13424,Sadegh,Milicia,1964-04-26,1988-03-30,1994-07-26,Engineer
13470,Qingxiang,Muhling,1964-04-24,1993-09-09,2002-02-23,Senior Staff
13483,Arco,Ananiadou,1964-04-20,1990-01-09,9999-01-01,Engineer
13484,Kristina,Setlzner,1964-09-05,1993-01-01,9999-01-01,Senior Staff
13494,Domenico,Baca,1964-04-07,1985-10-07,9999-01-01,Engineer
13518,Girolamo,Gill,1964-08-10,1993-11-17,9999-01-01,Staff
13528,Fumitaka,Liesche,1964-02-21,1991-08-21,2002-02-03,Senior Staff
13533,Lorien,Crouzet,1964-01-29,1993-04-21,9999-01-01,Senior Staff
13534,Shushma,Coullard,1964-04-12,1996-12-31,9999-01-01,Engineer
13555,Lijia,Matteis,1964-08-20,1988-11-07,9999-01-01,Senior Staff
13558,Raimond,Molberg,1964-10-13,1987-06-10,9999-01-01,Senior Staff
13572,Honglan,Beutelspacher,1964-03-13,1986-09-15,9999-01-01,Senior Staff
13599,Gor,Versino,1964-09-24,1992-11-12,9999-01-01,Senior Staff
13644,Shmuel,Spataro,1964-02-25,2001-04-25,9999-01-01,Engineer
13656,Oldrich,Ferretti,1964-08-19,1995-07-17,9999-01-01,Senior Staff
13669,Hidde,Peng,1964-11-19,1998-11-05,9999-01-01,Assistant Engineer
13686,Parke,Sadowsky,1964-04-18,1990-09-16,9999-01-01,Senior Staff
13720,Rildo,Braccini,1964-07-13,1989-03-01,9999-01-01,Senior Staff
13728,Insup,Swab,1964-05-23,1986-01-03,9999-01-01,Engineer
13729,Shahab,Farrel,1964-07-30,1988-10-12,9999-01-01,Engineer
13739,Krisda,Kinley,1964-12-05,1989-01-04,1995-02-23,Engineer
13765,Raimond,Mitzlaff,1964-07-27,1990-07-18,9999-01-01,Senior Staff
13773,Yuuichi,Waleschkowski,1964-10-13,1995-04-18,2001-10-18,Staff
13793,Mokhtar,Rosar,1964-09-26,1990-03-04,9999-01-01,Engineer
13802,Saniya,Benzmuller,1964-01-08,1990-10-27,1998-11-18,Senior Staff
13806,Abdelwaheb,Nitsch,1964-02-09,1990-02-05,9999-01-01,Engineer
13810,Piyush,Uhrig,1964-05-28,1998-12-06,1999-03-07,Staff
13816,Miquel,Maksimenko,1964-03-09,1992-09-17,9999-01-01,Engineer
13823,Ebru,Montemayor,1964-07-07,1993-07-06,9999-01-01,Technique Leader
13844,Jianhua,Vural,1964-05-24,1995-06-28,9999-01-01,Staff
13848,Jianhao,Wallrath,1964-02-21,1987-04-12,1995-10-21,Senior Staff
13860,Wojceich,Papastamatiou,1964-09-18,1988-07-27,9999-01-01,Senior Staff
13866,Macha,Fargier,1964-02-28,1999-12-25,9999-01-01,Staff
13869,Kinh,Cronan,1964-06-08,1994-04-13,1996-05-27,Engineer
13876,Fatemeh,Swan,1964-09-05,1995-05-03,9999-01-01,Senior Staff
13878,Shigeaki,Eiron,1964-03-19,1990-09-11,9999-01-01,Senior Staff
13879,Valery,Ambroszkiewicz,1964-11-16,1989-10-05,9999-01-01,Engineer
13908,Nechama,Koprowski,1964-12-21,1987-11-26,9999-01-01,Senior Engineer
13923,Eben,Rosiles,1964-02-05,1989-01-06,1999-02-05,Engineer
13956,Arvind,Kusakabe,1964-02-04,1996-06-16,9999-01-01,Engineer
13961,Munir,Hempstead,1964-06-22,1988-10-01,9999-01-01,Senior Engineer
13968,Selwyn,Unni,1964-09-09,1993-09-07,9999-01-01,Technique Leader
14002,JiYoung,Greibach,1964-02-07,1988-03-13,2001-09-28,Engineer
14023,Heather,Oxman,1964-01-28,1991-04-03,1999-08-28,Engineer
14025,Stevo,Takanami,1964-08-03,2001-08-07,9999-01-01,Staff
14043,Manohar,Dulin,1964-06-25,1993-01-21,9999-01-01,Technique Leader
14053,Kazuhiro,Haraldson,1964-01-10,1989-05-26,1996-05-13,Senior Staff
14054,Babette,Borstler,1964-05-12,1985-05-21,1989-11-15,Senior Staff
14062,Khalid,Luon,1964-12-16,1987-10-17,2000-11-13,Engineer
14081,Alain,Fontet,1964-05-04,1998-09-04,9999-01-01,Senior Staff
14085,Jiafu,Constantine,1964-06-25,1985-09-03,1986-11-27,Staff
14095,Tonia,Underwood,1964-08-04,1988-12-03,9999-01-01,Senior Staff
14176,Seshu,Thiran,1964-05-28,1998-01-10,2000-08-25,Staff
14177,Gino,Stille,1964-08-01,1996-03-16,9999-01-01,Senior Staff
14185,Garnik,Swiler,1964-11-06,1988-08-01,9999-01-01,Senior Staff
14189,Nahla,Tsukuda,1964-08-07,1995-02-26,1997-09-05,Staff
14190,Leon,Tomescu,1964-07-23,1989-03-13,9999-01-01,Engineer
14192,Ayakannu,Kroha,1964-05-26,1989-02-13,2002-04-06,Engineer
14193,Lucien,Kornyak,1964-02-23,1997-03-26,9999-01-01,Assistant Engineer
14194,Vidya,Schiettecatte,1964-03-06,1998-12-27,9999-01-01,Assistant Engineer
14195,Hsiangchu,Radhakrishnan,1964-05-22,1998-12-08,2001-10-08,Engineer
14201,Chirstian,Carrere,1964-07-03,1995-07-01,9999-01-01,Senior Engineer
14231,Serenella,Madeira,1964-09-15,1999-03-12,9999-01-01,Engineer
14239,Martijn,Wallrath,1964-09-24,1989-10-16,9999-01-01,Senior Staff
14255,Shigeo,Tramer,1964-05-07,1994-02-28,9999-01-01,Senior Staff
14271,Rosita,Bernatsky,1964-05-17,1989-02-17,9999-01-01,Senior Staff
14278,Kazuhiro,Schapiro,1964-10-25,1991-11-29,9999-01-01,Senior Staff
14286,Chenxi,Rodite,1964-10-20,1999-04-02,9999-01-01,Engineer
14334,Pradeep,Waleschkowski,1964-12-15,1988-07-06,9999-01-01,Engineer
14337,Utpal,Wursthorn,1964-05-29,1994-10-18,1996-01-13,Staff
14343,Pranav,Rotem,1964-04-22,1994-06-29,9999-01-01,Senior Staff
14348,Lene,Wallrath,1964-06-01,1997-05-19,2002-06-14,Senior Engineer
14350,Joydip,Claffy,1964-08-24,1988-03-20,1989-07-29,Senior Staff
